-1,-6468,-6468,-6468,-6468,-6468,385,385,0,0,0,0,124,0,0,0,0,0,0,0,0,-45.00,89.99,-45.00,89.99,0.00,89.99,0.00,89.99,0.00,89.99,0.00,89.80,0.00,89.80,-45.00,89.99,0.00,89.08,0.00,89.08,0.00,89.08,0.00,89.75,0.00,89.99,0.00,89.99,0.00,89.99,0.00,89.99,0.00,89.99,0.00,89.99,0.00,89.99,0.00,89.99
1,0,0,-6853,-6853,-6853,-6853,-6853,139,139,139,139,139,0,0,0,0,0,0,0,0,90.00,89.98,90.00,89.98,90.00,89.98,90.00,89.98,90.00,89.98,45.00,89.99,45.00,89.99,90.00,89.17,90.00,89.17,90.00,89.17,90.00,89.17,88.85,89.98,45.00,89.99,45.00,89.99,45.00,89.99,45.00,89.99,45.00,89.99,45.00,89.99,45.00,89.99,45.00,89.99
-1,-5815,-5815,-5815,-5815,-5815,420,420,0,420,420,420,420,0,0,0,0,0,0,0,0,-45.00,89.99,-45.00,89.99,90.00,89.98,90.00,89.98,90.00,89.98,-84.81,89.98,-84.81,89.98,-85.91,89.98,-45.00,89.81,-45.00,89.81,-45.00,89.81,0.00,88.99,-45.00,89.99,-45.00,89.99,-45.00,89.99,-45.00,89.99,-45.00,89.99,-45.00,89.99,-45.00,89.99,-45.00,89.99
-1,-3246,-3246,-3246,2878,2878,2878,2878,0,31,63,63,63,0,0,0,0,63,0,31,0,-90.00,0.00,-90.00,0.00,0.00,89.99,0.00,88.92,-90.00,0.00,-90.00,0.00,-90.00,89.96,-63.43,88.34,-63.43,88.34,90.00,86.42,0.00,86.42,-90.00,0.00,-45.00,89.98,0.00,88.34,0.00,89.98,0.00,88.34,0.00,89.97,0.00,88.34,0.00,88.34,0.00,88.34
-1,-103,-103,574,574,574,574,574,-203,0,0,0,574,0,0,0,0,0,0,0,0,71.57,89.86,71.57,89.86,-90.00,89.84,-90.00,89.84,-90.00,89.84,0.00,89.80,0.00,89.80,0.00,89.64,0.00,89.85,0.00,89.85,0.00,89.85,0.00,89.80,0.00,89.87,0.00,89.87,0.00,89.87,0.00,89.87,0.00,89.87,0.00,89.87,0.00,89.87,0.00,89.87
1,0,4601,4601,4601,-1634,-1634,-1634,-8,-8,0,-1634,-1634,0,0,0,-1634,-1634,-1634,-16,0,-90.00,89.98,-88.57,89.98,-90.00,0.00,0.00,89.98,-90.00,0.00,-90.00,0.00,-90.00,0.00,-90.00,75.96,45.00,79.98,0.00,89.93,-90.00,0.00,-90.00,0.00,-90.00,89.98,0.00,89.98,0.00,89.99,0.00,89.93,-90.00,0.00,0.00,89.93,0.00,89.93,0.00,82.87
-1,0,0,-5535,-5535,-5535,-5535,-5535,91,91,91,91,0,0,0,0,0,0,0,0,0,89.08,89.98,89.08,89.98,90.00,89.98,90.00,89.98,90.00,89.98,45.00,89.99,45.00,89.99,90.00,88.73,45.00,89.10,45.00,89.10,45.00,89.10,89.06,89.98,45.00,89.99,45.00,89.99,45.00,89.99,45.00,89.99,45.00,89.99,45.00,89.99,45.00,89.99,45.00,89.99
-1,195,195,195,195,195,-4643,-4643,128,0,-4643,0,-4643,0,0,0,0,0,0,0,0,-90.00,0.00,0.00,89.44,-90.00,0.00,0.00,89.98,0.00,89.98,0.00,89.98,-90.00,0.00,0.00,89.51,0.00,89.98,0.00,89.98,0.00,89.98,0.00,89.98,0.00,89.98,0.00,89.98,0.00,89.98,0.00,89.98,0.00,89.98,0.00,89.98,0.00,89.98,0.00,89.98
-1,0,0,1027,1080,1080,1134,1134,30,0,0,-59,-115,0,-30,0,-30,0,-30,-59,-30,90.00,86.19,-90.00,89.89,-90.00,89.89,-90.00,87.80,0.00,89.03,0.00,89.04,0.00,87.88,45.00,87.30,0.00,88.92,45.00,88.92,0.00,88.17,-45.00,89.17,-45.00,87.30,-90.00,88.03,45.00,89.92,-90.00,88.03,0.00,89.93,-90.00,88.03,-45.00,87.11,-90.00,88.03
-1,-82,-82,-5364,-5364,-5364,-5364,-5364,0,84,84,84,84,0,0,0,0,0,0,0,0,-89.12,89.98,-89.12,89.98,90.00,89.98,90.00,89.98,90.00,89.98,45.00,89.99,45.00,89.99,-45.00,89.38,-45.00,89.04,-45.00,89.04,-45.00,89.04,90.00,89.98,45.00,89.98,45.00,89.98,45.00,89.98,45.00,89.98,45.00,89.98,45.00,89.98,45.00,89.98,45.00,89.98
-1,-868,-868,616,616,616,616,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,89.87,0.00,89.87,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.86,0.00,89.86,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.93,0.00,89.93
